UPC,Price,Variant,Promo,Source
633422030326,20.368000000000002,Reishi Longevity Support,HD20,https://www.nhc.com/reishi-heart-by-host-defense?custcol_nhc_size=2479
633422051024,23.368000000000002,Cordyceps Extract Energy Support,HD20,https://www.nhc.com/cordyceps-extract-energy-by-host-defense
633422037035,37.768,Stamets 7 Daily Immune Support,HD20,https://www.nhc.com/stamets-7-daily-immune-by-host-defense?custcol_nhc_size=2575
633422037028,23.968000000000004,Stamets 7 Daily Immune Support,HD20,https://www.nhc.com/stamets-7-daily-immune-by-host-defense?custcol_nhc_size=2479
633422125237,19.168000000000003,MycoBotanicals Microbiome Powder,HD20,https://www.nhc.com/mycobotanicals-microbiome-powder-by-host-defense
633422710662,19.168000000000003,MycoBotanicals Stress Decompress,HD20,https://www.nhc.com/mycobotanicals-stress-by-host-defense
633422051628,23.368000000000002,Lion's Mane Extract Memory & Nerve Support,HD20,https://www.nhc.com/lions-mane-extract-memory-by-host-defense
633422354521,19.168000000000003,Stamets 7 Mushroom Mycelium Powder,HD20,https://www.nhc.com/stamets-7-mushroom-mycelium-powder-by-host-defense
633422038131,43.168000000000006,MyCommunity Immune Support 120 Veg Capsules,HD20,https://www.nhc.com/mycommunity-immune-support-by-host-defense?custcol_nhc_size=2575
633422038124,24.568,MyCommunity Immune Support 60 Veg Capsules,HD20,https://www.nhc.com/mycommunity-immune-support-by-host-defense?custcol_nhc_size=2479
633422038827,19.168000000000003,MycoBotanicals Liver,HD20,https://www.nhc.com/mycobotanicals-liver-by-host-defense
633422031033,37.768,Cordyceps Energy Support,HD20,https://www.nhc.com/cordyceps-energy-by-host-defense
633422558271,14.368000000000002,Elderberry Plus Syrup,HD20,https://www.nhc.com/elderberry-plus-syrup-by-host-defense
633422027333,37.768,Turkey Tail Immune Support 120 Veg Capsules,HD20,https://www.nhc.com/turkey-tail-immune-by-host-defense?custcol_nhc_size=2575
633422027326,20.368000000000002,Turkey Tail Immune Support 60 Veg Capsules,HD20,https://www.nhc.com/turkey-tail-immune-by-host-defense?custcol_nhc_size=2479
633422038520,20.368000000000002,Breathe Respiratory Support,HD20,https://www.nhc.com/breathe-respiratory-support-by-host-defense?custcol_nhc_size=2479
633422031538,37.768,Maitake Blood Sugar Support,HD20,https://www.nhc.com/maitake-blood-sugar-by-host-defense?custcol_nhc_size=2575
